order_id,order_date,category,price,quantity,discount_pct,revenue,region,payment_method,is_returned,customer_rating
ORD100000,2025-12-01,Fashion,4768.36,1,5,4529.94,North,Credit Card,False,3
ORD100001,2025-02-17,Home & Kitchen,1054.37,1,0,1054.37,North,UPI,False,4
ORD100002,2025-11-29,Fashion,1668.78,1,5,1585.34,South,Net Banking,False,4
ORD100003,2024-01-21,Home & Kitchen,938.82,1,5,891.88,North,COD,False,4
ORD100004,2025-03-30,Electronics,11543.88,1,10,10389.49,West,UPI,False,3
ORD100005,2025-04-21,Beauty,1361.69,1,30,953.18,West,COD,False,5
ORD100006,2025-12-19,Sports,1163.69,1,15,989.14,East,Credit Card,False,5
ORD100007,2025-06-04,Fashion,1692.49,1,15,1438.62,North,UPI,False,5
ORD100008,2024-08-18,Beauty,2348.12,1,10,2113.31,Central,Net Banking,False,3
ORD100009,2025-11-14,Fashion,3443.55,1,20,2754.84,South,UPI,False,5
ORD100010,2025-01-27,Home & Kitchen,9343.22,1,15,7941.74,North,Credit Card,False,5
ORD100011,2025-04-29,Fashion,2947.4,1,0,2947.4,South,Debit Card,False,2
ORD100012,2025-07-10,Fashion,1057.74,2,0,2115.48,North,Credit Card,False,4
ORD100013,2025-04-17,Sports,2932.59,1,5,2785.96,North,UPI,False,5
ORD100014,2025-10-10,Sports,552.14,1,10,496.93,North,UPI,False,4
ORD100015,2025-03-17,Home & Kitchen,5084.5,1,30,3559.15,North,Credit Card,False,4
ORD100016,2025-07-19,Electronics,28016.05,1,0,28016.05,South,Debit Card,False,4
ORD100017,2025-03-14,Fashion,2898.6,1,15,2463.81,North,Debit Card,False,5
ORD100018,2025-08-31,Home & Kitchen,6614.99,1,0,6614.99,South,Debit Card,False,4
ORD100019,2024-05-27,Fashion,3642.4,2,10,6556.32,North,Debit Card,False,5
ORD100020,2024-05-30,Electronics,16336.39,1,10,14702.75,East,UPI,False,5
ORD100021,2024-09-10,Home & Kitchen,3425.62,3,20,8221.49,Central,Debit Card,False,4
ORD100022,2024-04-29,Beauty,2706.76,2,20,4330.82,West,COD,False,5
ORD100023,2024-06-01,Home & Kitchen,4718.48,2,0,9436.96,North,Credit Card,False,5
ORD100024,2024-10-08,Fashion,3647.24,1,15,3100.15,East,Credit Card,False,4
ORD100025,2024-12-30,Fashion,1446.75,3,20,3472.2,South,UPI,False,5
ORD100026,2025-05-30,Sports,2226.39,1,0,2226.39,East,UPI,False,5
ORD100027,2024-11-15,Sports,3276.19,1,30,2293.33,Central,Net Banking,False,4
ORD100028,2025-07-19,Sports,2876.92,1,10,2589.23,East,UPI,False,5
ORD100029,2024-04-13,Electronics,24047.34,2,10,43285.21,West,UPI,False,5
ORD100030,2025-05-20,Beauty,2621.16,2,0,5242.32,East,UPI,False,4
ORD100031,2024-12-26,Electronics,40067.85,1,10,36061.06,South,UPI,False,5
ORD100032,2024-02-23,Sports,2376.89,1,10,2139.2,South,Net Banking,False,5
ORD100033,2024-12-15,Fashion,4257.51,1,10,3831.76,West,COD,False,4
ORD100034,2024-12-01,Beauty,921.87,1,15,783.59,East,UPI,False,3
ORD100035,2025-05-02,Fashion,2881.37,1,20,2305.1,East,Credit Card,False,4
ORD100036,2025-03-10,Beauty,285.99,1,15,243.09,North,UPI,False,2
ORD100037,2024-08-05,Sports,5777.43,1,15,4910.82,West,UPI,False,5
ORD100038,2024-06-28,Electronics,42787.84,2,5,81296.9,East,Credit Card,False,5
ORD100039,2025-05-11,Electronics,4569.74,1,20,3655.79,East,Net Banking,False,5
ORD100040,2024-09-24,Electronics,36787.38,2,5,69896.02,Central,COD,False,2
ORD100041,2024-02-04,Electronics,2292.65,1,5,2178.02,East,UPI,False,4
ORD100042,2025-09-17,Fashion,2631.38,1,10,2368.24,West,Debit Card,False,4
ORD100043,2025-11-19,Electronics,34151.74,2,0,68303.48,North,Credit Card,False,5
ORD100044,2024-09-29,Fashion,3495.27,1,10,3145.74,South,UPI,False,3
ORD100045,2024-09-21,Electronics,43196.56,2,5,82073.46,Central,COD,False,5
ORD100046,2025-04-13,Fashion,1678.09,1,15,1426.38,West,Net Banking,False,4
ORD100047,2024-08-02,Electronics,25404.51,1,10,22864.06,West,COD,False,5
ORD100048,2024-06-16,Sports,6788.61,1,0,6788.61,West,Debit Card,False,3
ORD100049,2025-05-14,Sports,3307.03,1,0,3307.03,Central,Credit Card,False,5
ORD100050,2025-12-14,Home & Kitchen,4784.66,1,0,4784.66,South,UPI,False,2
ORD100051,2024-01-01,Electronics,6612.39,1,10,5951.15,North,UPI,False,3
ORD100052,2025-11-15,Home & Kitchen,5461.5,2,0,10923.0,West,Credit Card,False,2
ORD100053,2024-08-20,Home & Kitchen,11643.91,1,0,11643.91,South,COD,False,4
ORD100054,2024-12-23,Beauty,2758.47,2,10,4965.25,North,UPI,False,4
ORD100055,2025-12-04,Home & Kitchen,1301.72,3,0,3905.16,North,UPI,False,4
ORD100056,2024-09-12,Electronics,4814.72,2,10,8666.5,Central,UPI,False,5
ORD100057,2024-05-25,Electronics,19389.6,1,30,13572.72,North,Credit Card,False,5
ORD100058,2024-04-08,Beauty,2539.24,1,0,2539.24,North,UPI,False,4
ORD100059,2025-07-18,Beauty,2752.52,1,20,2202.02,West,UPI,False,3
ORD100060,2025-05-02,Sports,5046.31,1,10,4541.68,South,UPI,False,4
ORD100061,2024-02-23,Beauty,1632.47,2,30,2285.46,North,Net Banking,False,4
ORD100062,2024-03-15,Fashion,3987.94,1,0,3987.94,North,UPI,False,5
ORD100063,2024-11-03,Fashion,2356.13,2,5,4476.65,Central,UPI,False,5
ORD100064,2025-05-22,Beauty,1459.14,2,0,2918.28,North,Debit Card,False,4
ORD100065,2025-12-14,Home & Kitchen,4362.13,1,0,4362.13,East,UPI,False,5
ORD100066,2025-09-25,Fashion,3437.52,1,0,3437.52,West,UPI,False,2
ORD100067,2024-02-15,Home & Kitchen,6599.31,1,5,6269.34,South,Debit Card,True,5
ORD100068,2024-02-17,Home & Kitchen,1348.4,2,0,2696.8,North,Net Banking,False,3
ORD100069,2025-04-18,Fashion,2041.22,1,15,1735.04,East,Debit Card,True,3
ORD100070,2024-12-28,Electronics,31391.7,2,0,62783.4,South,Credit Card,False,4
ORD100071,2024-08-18,Fashion,394.33,1,0,394.33,East,UPI,False,4
ORD100072,2024-08-15,Fashion,3349.47,1,10,3014.52,East,Debit Card,False,3
ORD100073,2025-03-18,Fashion,2006.49,1,5,1906.17,Central,Credit Card,False,3
ORD100074,2025-03-21,Electronics,12199.16,1,0,12199.16,North,COD,False,4
ORD100075,2024-11-17,Fashion,4917.18,1,20,3933.74,North,COD,False,5
ORD100076,2024-01-26,Beauty,2197.6,1,0,2197.6,West,UPI,False,4
ORD100077,2024-03-30,Home & Kitchen,3211.95,1,15,2730.16,North,Credit Card,False,4
ORD100078,2024-09-17,Home & Kitchen,4683.07,1,0,4683.07,Central,UPI,False,4
ORD100079,2025-07-03,Home & Kitchen,9218.64,1,5,8757.71,South,COD,False,5
ORD100080,2025-08-10,Electronics,33292.74,2,5,63256.21,Central,Debit Card,False,5
ORD100081,2024-10-05,Beauty,2288.93,1,0,2288.93,East,COD,False,5
ORD100082,2025-11-21,Home & Kitchen,5642.6,1,10,5078.34,South,Credit Card,False,4
ORD100083,2024-02-08,Home & Kitchen,1172.78,1,0,1172.78,Central,Debit Card,False,3
ORD100084,2024-08-18,Beauty,1917.21,1,10,1725.49,Central,Debit Card,False,5
ORD100085,2025-05-31,Electronics,10397.69,1,20,8318.15,South,Net Banking,False,5
ORD100086,2024-09-17,Electronics,18782.0,1,5,17842.9,South,Net Banking,True,5
ORD100087,2025-12-13,Home & Kitchen,8707.68,1,5,8272.3,North,Credit Card,False,5
ORD100088,2025-09-14,Sports,1543.37,1,15,1311.86,East,UPI,False,5
ORD100089,2025-01-12,Electronics,29834.47,1,0,29834.47,North,UPI,False,5
ORD100090,2025-02-23,Electronics,11761.91,1,0,11761.91,Central,Net Banking,False,5
ORD100091,2025-03-11,Fashion,557.38,1,15,473.77,East,UPI,False,5
ORD100092,2024-12-12,Sports,3992.75,1,0,3992.75,South,UPI,False,4
ORD100093,2024-03-03,Fashion,4599.78,1,0,4599.78,North,UPI,False,5
ORD100094,2024-03-03,Fashion,2919.34,2,30,4087.08,South,Credit Card,False,5
ORD100095,2024-10-11,Fashion,4520.86,1,5,4294.82,West,Credit Card,False,5
ORD100096,2024-08-09,Home & Kitchen,6599.69,1,10,5939.72,North,UPI,False,5
ORD100097,2025-01-14,Fashion,1572.5,1,15,1336.62,Central,Net Banking,False,4
ORD100098,2024-12-06,Home & Kitchen,3345.11,1,20,2676.09,East,Debit Card,False,5
ORD100099,2025-05-14,Home & Kitchen,9759.46,3,10,26350.54,North,UPI,False,1
ORD100100,2025-01-15,Electronics,10543.05,1,20,8434.44,East,Debit Card,False,5
ORD100101,2024-04-28,Fashion,4178.0,1,0,4178.0,East,UPI,False,4
ORD100102,2024-10-30,Fashion,4757.73,1,5,4519.84,West,Net Banking,False,1
ORD100103,2024-10-22,Fashion,2845.68,1,15,2418.83,Central,Credit Card,False,4
ORD100104,2024-12-21,Electronics,41272.0,1,0,41272.0,South,Credit Card,False,3
ORD100105,2024-06-16,Electronics,12970.25,1,0,12970.25,East,Credit Card,False,5
ORD100106,2024-05-09,Fashion,3923.28,1,0,3923.28,West,UPI,False,4
ORD100107,2024-04-22,Fashion,1656.86,1,15,1408.33,East,COD,False,5
ORD100108,2024-05-27,Electronics,22543.34,1,0,22543.34,West,Net Banking,False,3
ORD100109,2024-10-22,Home & Kitchen,5901.15,1,5,5606.09,East,Credit Card,False,5
ORD100110,2025-06-07,Beauty,2129.88,1,5,2023.39,North,COD,False,5
ORD100111,2024-08-03,Fashion,1170.12,1,15,994.6,East,Debit Card,False,5
ORD100112,2025-07-24,Sports,7275.23,1,30,5092.66,Central,UPI,False,5
ORD100113,2024-11-30,Fashion,2969.34,2,0,5938.68,Central,COD,False,4
